"Gene ID","name","HRT D7 T3","HRT D7 P5","HRT D4 T1","HRT D4 T3","HRT D4 P2","HRT D7 T1","HRT D7 T4","HRT D7 P4","HRT D7 P6","HRT D4 T2","HRT D4 P1","HRT D4 P3"
"ENSMUSG00000086515.1","Erich2os",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081944.1","Gm12276",0,0,1,1,0,0,0,2,0,0,0,0
"ENSMUSG00000030711.16","Sult1a1",6,5,8,0,1,9,3,7,20,2,1,0
"ENSMUSG00000065007.1","Gm26324",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020903.13","Stx8",19,39,66,14,32,25,17,56,76,41,56,15
"ENSMUSG00000101501.1","Rps27a-ps1",6,3,3,2,5,1,0,11,3,0,5,1
"ENSMUSG00000113605.1","ENSMUSG00000113605.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061808.4","Ttr",0,0,0,0,0,0,0,0,2,1,0,0
"ENSMUSG00000060427.15","Zfp868",9,15,12,0,6,7,9,17,16,9,24,3
"ENSMUSG00000028518.8","Prkaa2",0,4,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000044749.13","Abca6",3,0,6,0,1,1,0,1,2,3,3,0
"ENSMUSG00000046230.11","Vps13a",24,23,36,16,45,23,21,38,50,31,20,13
"ENSMUSG00000103744.1","RP23-293F4.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116952.1","ENSMUSG00000116952.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059159.6","Gm8129",47,52,88,27,84,46,46,75,89,33,78,37
"ENSMUSG00000035960.14","Apex1",31,34,90,24,70,38,19,65,63,32,76,34
"ENSMUSG00000096712.1","Gm15454",1,1,4,0,0,1,1,2,4,2,2,0
"ENSMUSG00000016984.7","Etaa1",0,11,12,3,6,14,7,5,8,6,17,5
"ENSMUSG00000026721.16","Rabgap1l",31,22,56,15,22,29,5,43,17,31,19,19
"ENSMUSG00000056529.7","Ptafr",209,177,347,61,209,253,179,390,422,203,322,144
"ENSMUSG00000000142.15","Axin2",0,0,0,0,0,0,0,0,0,0,2,1
"ENSMUSG00000103808.1","RP24-227F14.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000116847.1","ENSMUSG00000116847.1",4,3,11,2,4,4,2,7,9,6,8,2
"ENSMUSG00000103747.1","RP23-412L18.3",0,5,0,1,41,1,1,31,4,0,0,0
"ENSMUSG00000064597.1","Gm22299",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105702.1","ENSMUSG00000105702.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021928.9","Ebpl",11,16,41,10,24,21,6,27,29,22,24,14
"ENSMUSG00000078607.6","1810010H24Rik",7,0,0,0,0,0,0,0,0,4,1,0
"ENSMUSG00000029255.8","Gnrhr",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039191.12","Rbpj",617,500,839,296,647,730,457,900,997,514,891,269
"ENSMUSG00000091866.1","Gm6257",4,0,8,3,0,5,0,2,10,5,2,0
"ENSMUSG00000024186.15","Rgs11",3,1,1,3,0,14,4,0,2,1,0,0
"ENSMUSG00000006678.6","Pola1",2,4,47,2,8,26,10,8,7,12,15,6
"ENSMUSG00000034493.1","4930556J24Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021710.11","Nln",27,58,96,24,56,37,44,101,84,47,69,29
"ENSMUSG00000048109.10","Rbm15",28,36,67,10,69,28,15,47,59,26,46,47
"ENSMUSG00000003623.4","Crot",13,28,35,17,16,23,18,50,60,31,28,6
"ENSMUSG00000078889.11","Gm14288",5,2,1,4,4,5,3,5,6,1,5,2
"ENSMUSG00000047804.15","Akap10",18,24,60,16,26,45,23,60,77,47,36,11
"ENSMUSG00000021789.14","Sftpa1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026586.16","Prrx1",0,0,6,4,3,4,1,5,1,0,2,1
"ENSMUSG00000103194.1","RP24-291H9.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107380.1","ENSMUSG00000107380.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000056698.11","Elmod3",3,10,15,0,5,6,9,12,11,4,10,0
"ENSMUSG00000024055.15","Cyp4f13",4,26,38,5,11,16,10,19,36,5,28,7
"ENSMUSG00000117877.1","ENSMUSG00000117877.1",1,0,0,1,0,3,0,1,4,1,1,0
"ENSMUSG00000109609.1","ENSMUSG00000109609.1",0,1,0,1,1,0,0,0,0,0,1,0
"ENSMUSG00000052504.7","Epha3",1,0,0,0,0,0,2,3,0,0,0,0
"ENSMUSG00000036817.14","Sun1",42,32,52,22,30,30,18,64,65,24,52,22
"ENSMUSG00000024818.15","Slc25a45",165,178,99,37,108,79,108,163,188,93,99,49
"ENSMUSG00000021108.18","Prkch",37,66,82,21,42,50,39,86,94,59,45,26
"ENSMUSG00000051985.12","Igfn1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039308.6","Ndst2",22,14,62,1,13,26,13,33,38,27,28,9
"ENSMUSG00000097977.1","Gm5652",28,25,56,25,44,33,36,71,91,44,54,50
"ENSMUSG00000036061.10","Smug1",3,2,8,7,1,13,4,1,32,4,11,0
"ENSMUSG00000022602.14","Arc",8,9,0,3,4,20,4,16,12,0,3,0
"ENSMUSG00000031780.2","Ccl17",11,1,1,0,1,1,2,15,1,0,4,0
"ENSMUSG00000028955.3","Vamp3",103,124,132,52,150,117,61,143,129,65,106,93
"ENSMUSG00000037012.18","Hk1",44,85,76,8,73,47,28,74,72,67,77,37
"ENSMUSG00000035107.13","Dcbld2",5,7,5,2,2,3,3,2,6,2,5,1
"ENSMUSG00000085035.1","Gm12031",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026519.16","Tmem63a",11,12,26,3,5,18,12,17,24,2,8,5
"ENSMUSG00000050890.15","Pdik1l",12,19,21,11,23,23,3,44,20,15,21,13
"ENSMUSG00000113101.1","ENSMUSG00000113101.1",0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116274.1","ENSMUSG00000116274.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026812.16","Tsc1",21,12,31,19,24,43,11,38,52,6,25,13
"ENSMUSG00000112153.1","ENSMUSG00000112153.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038406.17","Scaf1",21,44,51,15,35,46,12,29,35,49,35,35
"ENSMUSG00000024479.3","Mal2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000113484.1","ENSMUSG00000113484.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062944.4","9130023H24Rik",6,1,8,0,0,7,1,2,9,1,2,0
"ENSMUSG00000045071.14","E130308A19Rik",5,6,7,5,1,2,1,8,13,6,7,1
"ENSMUSG00000038564.11","Ift172",5,2,17,1,6,5,0,8,9,4,7,5
"ENSMUSG00000032609.12","Klhdc8b",2,0,1,0,0,0,3,1,2,0,4,0
"ENSMUSG00000044701.5","Il27",0,1,0,0,1,5,5,15,0,0,2,0
"ENSMUSG00000096010.2","Hist4h4",2,2,3,0,6,11,1,8,1,2,1,0
"ENSMUSG00000012640.16","Zfp715",21,11,26,10,12,16,15,29,13,22,16,7
"ENSMUSG00000038400.15","Pmepa1",108,140,119,43,48,195,94,247,251,81,85,17
"ENSMUSG00000036934.9","4921524J17Rik",32,85,109,31,92,43,54,117,133,40,77,80
"ENSMUSG00000036062.13","N28178",0,0,1,4,0,0,0,0,0,0,0,0
"ENSMUSG00000032547.12","Ryk",12,9,2,1,5,16,0,10,7,1,2,2
"ENSMUSG00000022139.17","Mbnl2",328,393,602,138,406,343,229,595,611,356,333,234
"ENSMUSG00000041977.18","Arhgef11",23,59,63,20,29,40,15,59,62,17,25,17
"ENSMUSG00000102184.1","RP24-86O15.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088813.1","Gm22383",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052512.17","Nav2",27,69,81,44,66,33,31,78,64,83,59,49
"ENSMUSG00000018765.5","Fxr2",25,19,39,8,21,24,22,25,31,17,42,11
"ENSMUSG00000107127.1","ENSMUSG00000107127.1",0,0,0,0,1,0,0,0,0,2,0,1
"ENSMUSG00000115039.1","ENSMUSG00000115039.1",3,10,10,2,10,10,3,9,14,2,5,9
