"Gene ID","name","HRT D7 T3","HRT D7 P5","HRT D4 T1","HRT D4 T3","HRT D4 P2","HRT D7 T1","HRT D7 T4","HRT D7 P4","HRT D7 P6","HRT D4 T2","HRT D4 P1","HRT D4 P3"
"ENSMUSG00000101985.1","Gm28929",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020096.21","Tbata",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090892.2","Vmn2r41",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083020.1","Gm15331",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080980.1","1700071K01Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118230.1","ENSMUSG00000118230.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085073.3","Gm14562",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101574.1","1700112H15Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109435.1","ENSMUSG00000109435.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102943.1","RP24-111E3.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106417.1","ENSMUSG00000106417.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069712.5","4930444G20Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092674.2","Gm24105",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083010.1","Gm14687",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117733.1","ENSMUSG00000117733.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081843.1","Gm7851",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110434.1","ENSMUSG00000110434.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000023017.10","Asic1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077578.1","Gm25631",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118096.1","ENSMUSG00000118096.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110776.1","ENSMUSG00000110776.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078872.9","Gm14401",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000113435.1","ENSMUSG00000113435.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094307.1","Gm14347",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098782.2","Gm19255",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098143.1","Gm26937",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092394.1","Gm20445",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083368.1","Gm13214",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054667.7","Irs4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090955.1","Gm17097",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081156.1","Gm14425",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084396.1","Gm14657",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086699.3","Gm16510",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090549.2","Rpl28-ps4",0,0,0,0,0,0,0,0,0,0,0,0
