"Gene ID","name","HRT D4 P1","HRT D4 P2","HRT D4 P3","HRT D4 T1","HRT D4 T2","HRT D4 T3","HRT D7 P4","HRT D7 P5","HRT D7 P6","HRT D7 T1","HRT D7 T3","HRT D7 T4"
"ENSMUSG00000082925.1","Gm13135",7,11,5,12,5,3,7,2,20,3,4,4
"ENSMUSG00000007603.9","Dus3l",31,11,18,27,23,4,15,23,27,29,14,9
"ENSMUSG00000115505.1","ENSMUSG00000115505.1",0,1,4,4,0,0,2,0,3,1,0,0
"ENSMUSG00000041247.8","Lamp3",0,0,0,0,0,0,2,0,0,0,0,2
"ENSMUSG00000100912.1","Gm2021",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000040738.10","Ints8",28,23,14,27,12,11,15,18,13,34,14,1
"ENSMUSG00000082382.1","Gm14970",1,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000056459.14","Zbtb25",6,6,10,16,5,7,6,2,19,3,8,6
"ENSMUSG00000048731.15","Ggnbp1",0,0,0,0,0,3,0,0,1,0,1,2
"ENSMUSG00000111868.1","ENSMUSG00000111868.1",0,0,0,1,0,0,0,0,2,0,0,0
"ENSMUSG00000084790.1","Gm15879",1,0,0,0,0,0,3,2,0,0,0,0
"ENSMUSG00000070985.3","Acnat1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021376.11","Tpmt",3,2,20,7,7,0,15,20,8,27,1,6
"ENSMUSG00000035891.16","Cerk",117,66,46,136,73,42,136,95,157,76,45,48
"ENSMUSG00000035842.10","Ddx11",8,4,3,3,3,0,2,3,4,3,1,0
"ENSMUSG00000068876.16","Cgn",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025076.11","Casp7",90,63,74,156,56,15,50,148,89,26,52,62
"ENSMUSG00000025421.15","Hdhd2",0,0,2,6,2,1,9,6,10,3,3,5
"ENSMUSG00000114486.1","ENSMUSG00000114486.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082785.3","Vmn1r-ps100",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097248.9","Gm2694",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108249.1","ENSMUSG00000108249.1",0,2,0,0,0,4,1,0,0,0,1,0
"ENSMUSG00000115220.1","ENSMUSG00000115220.1",0,0,0,0,0,0,0,11,0,0,0,0
"ENSMUSG00000102205.1","RP23-239I17.3",0,0,0,0,0,0,1,1,0,0,0,0
"ENSMUSG00000114065.1","ENSMUSG00000114065.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031143.4","Ccdc22",1,3,2,0,1,1,3,4,2,2,1,0
"ENSMUSG00000095168.1","Gm4795",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065990.12","Aurkaip1",171,117,98,180,116,49,173,117,159,127,73,89
"ENSMUSG00000084168.3","Atp5l2-ps",12,11,8,20,4,4,10,6,17,8,4,1
"ENSMUSG00000104100.1","RP23-21P2.8",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000030008.9","Pradc1",16,3,5,20,10,3,7,11,22,5,1,5
"ENSMUSG00000020866.17","Cacna1g",0,0,0,0,0,0,0,0,0,3,0,0
"ENSMUSG00000103979.1","RP23-172B15.2",99,84,46,99,35,12,70,51,81,71,52,51
"ENSMUSG00000009741.15","Ubp1",117,119,66,137,78,82,154,124,233,140,110,47
"ENSMUSG00000056145.5","AI504432",42,96,34,45,43,29,98,42,88,84,53,41
"ENSMUSG00000066721.3","Zfp575",0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000082826.1","Gm6097",1,0,0,2,0,1,2,1,4,0,0,0
"ENSMUSG00000055560.8","Zfp459",0,0,1,0,0,0,0,0,1,0,0,2
"ENSMUSG00000095893.4","Olfr884",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070841.5","Vmn2r34",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085645.1","Hoxb5os",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041730.14","Prrxl1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082420.2","Gm6517",10,6,1,4,5,1,1,1,16,3,4,7
"ENSMUSG00000035413.8","Tmem98",0,0,0,0,0,2,4,0,8,0,0,0
"ENSMUSG00000115190.1","ENSMUSG00000115190.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083590.1","Gm13916",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028848.13","Gpn2",11,10,7,19,6,3,21,5,9,7,12,8
"ENSMUSG00000035441.14","Myo1d",1,1,4,7,0,2,4,0,0,3,0,1
"ENSMUSG00000097668.2","Gm26761",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000029530.16","Ccr9",0,0,0,5,0,0,3,0,0,0,1,8
"ENSMUSG00000107852.1","ENSMUSG00000107852.1",2,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000114828.1","ENSMUSG00000114828.1",0,0,1,5,0,0,4,0,4,3,2,0
"ENSMUSG00000098959.1","Gm27230",0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000047631.4","Apof",0,0,0,1,0,0,0,0,0,0,0,1
"ENSMUSG00000046794.9","Ppp1r3b",53,15,23,19,15,12,39,31,33,24,36,7
"ENSMUSG00000079699.2","Gm6592",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000113427.1","ENSMUSG00000113427.1",0,0,0,2,0,0,3,2,1,0,0,0
"ENSMUSG00000094664.1","Rpl35a-ps6",408,359,219,527,319,157,576,354,613,359,399,291
"ENSMUSG00000047330.8","Kcne4",0,1,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000085442.1","Gm3362",222,258,165,309,154,81,308,211,243,184,165,143
"ENSMUSG00000027790.14","Sis",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095448.3","Olfr859",0,0,0,0,0,0,0,0,0,0,0,0
